"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,200,8,900,900,112,57,4,101,180896,15,1.01355612117221,1.01302124928015,0.0863717551546208,0,11.87
0.2,200,8,1440,360,45,57,4,161,288360,15,1.03180744472125,1.03359925993541,0.0355630772497406,0,13.19
0.2,175,8,1440,360,45,57,4,141,252360,15,1.03721153252563,1.03282868021048,0.0747874053283792,0,11.58
0.5,200,12,900,900,75,57,4,101,180900,15,1.04006141196592,1.03040937946695,0.0666743251034925,0,11.7
0.25,200,8,1350,450,56,57,4,151,270448,15,1.05339094116621,1.0733361800628,0.0392045447266633,0,12.69
0.25,175,8,1350,450,56,57,4,132,236698,15,1.05350184470083,1.07866864069598,0.0509118263423063,0,11.16
0.5,175,8,900,900,112,57,4,88,158396,15,1.06528837801198,1.08132893999987,0.0918414626004678,0,10.44
0.5,175,12,900,900,75,57,4,88,158400,15,1.07071790836053,1.06948411940729,0.07204416122778,0,10.35
0.2,150,8,1440,360,45,57,4,121,216360,15,1.08516141618854,1.08393530626041,0.0390038264051247,0,10.06
0.25,150,8,1350,450,56,57,4,113,202948,15,1.10380759355144,1.123391266868,0.0722485975575644,0,9.56999999999999
0.5,150,12,900,900,75,57,4,76,135900,15,1.17474787787893,1.19024233981951,0.077368382641235,0,9.00999999999999
0.5,150,8,900,900,112,57,4,76,135896,15,1.18430893061695,1.22868238562578,0.0930836114845035,0,8.93000000000001
