"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.25,200,8,1350,450,56,75,4,151,270448,15,1.07602715826098,1.080372321517,0.0711633548976351,0,13.14
0.2,200,8,1440,360,45,75,4,161,288360,15,1.09188089860943,1.09856061981368,0.0654879444694665,0,14.8
0.5,200,12,900,900,75,75,4,101,180900,15,1.12378158312905,1.13113725731124,0.0406848764730972,0,11.59
0.25,175,8,1350,450,56,75,4,132,236698,15,1.12896112181801,1.11679069431603,0.0762803819362929,0,11.47
0.5,200,8,900,900,112,75,4,101,180896,15,1.13365372834815,1.13390372854756,0.0732191125013015,0,11.78
0.2,175,8,1440,360,45,75,4,141,252360,15,1.1445027810975,1.14012237017783,0.0930766931719829,0,13.11
0.2,150,8,1440,360,45,75,4,121,216360,15,1.19819893992419,1.22590789034567,0.188770019865348,0,11.46
0.5,175,12,900,900,75,75,4,88,158400,15,1.19873503158687,1.21856554172414,0.136346488637774,0,10.38
0.25,150,8,1350,450,56,75,4,113,202948,15,1.19922160381841,1.19820714536859,0.112560803544607,0,9.88999999999999
0.5,175,8,900,900,112,75,4,88,158396,15,1.21780013917884,1.26473060115656,0.150235113935524,0,10.26
0.5,150,12,900,900,75,75,4,76,135900,15,1.35524782858531,1.42037365315915,0.282323054418294,0,8.94
0.5,150,8,900,900,112,75,4,76,135896,15,1.40874819816259,1.49616906351114,0.272974800313053,0,8.92000000000002
