"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,200,12,1600,1600,133,96,7,101,321596,15,0.934377537858469,0.940970067615257,0.0335796397255976,0,6.39
0.25,150,8,2400,800,100,96,7,113,360800,15,0.936095995966959,0.93830152347178,0.024639137844314,0,4.95
0.25,200,8,2400,800,100,96,7,151,480800,15,0.936466882340455,0.94923111895029,0.0352887365960688,0,6.47
0.2,200,8,2560,640,80,96,7,161,512640,15,0.942804783198487,0.951231170150409,0.0320943936877374,0,6.92999999999999
0.2,150,8,2560,640,80,96,7,121,384640,15,0.943828097903478,0.948334375885043,0.0239927634033251,0,5.22
0.25,128,8,2400,800,100,96,7,97,308000,15,0.945530103871274,0.94542808401134,0.0353647835697322,0,4.12
0.5,150,12,1600,1600,133,96,7,76,241596,15,0.947621736866834,0.951001887463965,0.0419686190262056,0,3.81
0.2,128,8,2560,640,80,96,7,103,328320,15,0.949208680729322,0.953291576221575,0.0310622200236376,0,4.84
0.5,200,8,1600,1600,200,96,7,101,321600,15,0.951504322043074,0.955651530955646,0.0244603499822751,0,4.66
0.5,150,8,1600,1600,200,96,7,76,241600,15,0.959355604777861,0.963997217356826,0.0234935592479748,0,3.44
0.5,128,8,1600,1600,200,96,7,65,206400,15,0.975414684280127,0.988957404153701,0.0470959930392363,0,2.96
0.5,128,12,1600,1600,133,96,7,65,206396,15,0.976393058515446,0.969740034983662,0.044323994750786,0,2.97999999999999
