"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,200,12,1600,1600,133,96,7,101,321596,2,0.93279615132251,0.93279615132251,0.00158138653595841,0,2.68
0.5,150,12,1600,1600,133,96,7,76,241596,2,0.94155432027073,0.94155432027073,0.0184938428514807,0,1.985
0.2,200,8,2560,640,80,96,7,161,512640,2,0.951038742984585,0.951038742984585,0.0180181213490169,0,3.46
0.25,128,8,2400,800,100,96,7,97,308000,2,0.952540551027091,0.952540551027091,0.0210924753687668,0,2.085
0.2,150,8,2560,640,80,96,7,121,384640,2,0.953599460808658,0.953599460808658,0.00900525300756327,0,2.64
0.2,128,8,2560,640,80,96,7,103,328320,2,0.960864811010735,0.960864811010735,0.00336320388830358,0,2.345
0.5,200,8,1600,1600,200,96,7,101,321600,2,0.962390510558955,0.962390510558955,0.0125953451642506,0,2.625
0.25,200,8,2400,800,100,96,7,151,480800,2,0.969944261928301,0.969944261928301,0.00271368989480458,0,3.19
0.25,150,8,2400,800,100,96,7,113,360800,2,0.971555723850453,0.971555723850453,0.0243690315708623,0,2.475
0.5,150,8,1600,1600,200,96,7,76,241600,2,0.972377575977966,0.972377575977966,0.00894300386499025,0,1.96
0.5,128,12,1600,1600,133,96,7,65,206396,2,0.977539544076426,0.977539544076426,0.0129099379163078,0,1.755
0.5,128,8,1600,1600,200,96,7,65,206400,2,1.00990958612725,1.00990958612725,0.010018818983351,0,1.695
