"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,200,12,1600,1600,133,128,7,101,321596,15,0.969860891912667,0.967623722937359,0.0200459323690867,0,4.66999999999999
0.25,150,8,2400,800,100,128,7,113,360800,15,0.972446769610942,0.968689238492537,0.0250712372305963,0,5.11
0.25,200,8,2400,800,100,128,7,151,480800,15,0.973603606546186,0.968088459116047,0.025343830220834,0,6.78
0.2,150,8,2560,640,80,128,7,121,384640,15,0.978587952889354,0.998798368447604,0.0520529295856977,0,5.52
0.2,200,8,2560,640,80,128,7,161,512640,15,0.979844175182016,0.990742365509783,0.0492145227952689,0,7.28
0.5,200,8,1600,1600,200,128,7,101,321600,15,0.980908846006352,0.97457579111674,0.0190021496475798,0,4.86000000000001
0.2,128,8,2560,640,80,128,7,103,328320,15,1.00226945079641,1.01771657945182,0.0404080005211278,0,5.89
0.25,128,8,2400,800,100,128,7,97,308000,15,1.01143345309117,1.01008621917102,0.0284642402821439,0,4.25
0.5,150,12,1600,1600,133,128,7,76,241596,15,1.01519079010029,1.02247992953542,0.0434113248678052,0,3.59999999999999
0.5,150,8,1600,1600,200,128,7,76,241600,15,1.03334877013064,1.03991173243168,0.0445434104780105,0,3.54999999999998
0.5,128,12,1600,1600,133,128,7,65,206396,15,1.0923298487977,1.10641236478591,0.0692762188604532,0,3.15000000000001
0.5,128,8,1600,1600,200,128,7,65,206400,15,1.13223793239558,1.14226719544553,0.084683022835546,0,3.08999999999999
