"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,200,12,1600,1600,133,160,7,101,321596,15,0.974155449843486,0.983167710548358,0.045974305423073,0,4.86
0.25,200,8,2400,800,100,160,7,151,480800,15,0.982105800806387,0.982050926081564,0.0296414454139898,0,6.96
0.2,200,8,2560,640,80,160,7,161,512640,15,0.983753842179889,0.987574565092588,0.0280115562599197,0,7.36
0.5,200,8,1600,1600,200,160,7,101,321600,15,0.994827406590852,0.991823176912718,0.0269725027907974,0,4.8
0.25,150,8,2400,800,100,160,7,113,360800,15,0.998832819797878,1.0076408458804,0.0386880732514292,0,5.27
0.2,150,8,2560,640,80,160,7,121,384640,15,1.00726263451242,1.00909666580506,0.0382605942449581,0,5.61
0.5,150,12,1600,1600,133,160,7,76,241596,15,1.05909947046846,1.08240184120804,0.0702516066175534,0,3.73
0.2,128,8,2560,640,80,160,7,103,328320,15,1.0713820872943,1.06714542367465,0.0545836559546933,0,5.12
0.25,128,8,2400,800,100,160,7,97,308000,15,1.07226728659477,1.07955912619993,0.0680896497920753,0,4.64
0.5,150,8,1600,1600,200,160,7,76,241600,15,1.09349752577631,1.10969402061424,0.0734654313452103,0,3.67
0.5,128,12,1600,1600,133,160,7,65,206396,15,1.2081083022235,1.20901850659236,0.100784820807442,0,3.18
0.5,128,8,1600,1600,200,160,7,65,206400,15,1.25192380262375,1.26797002112355,0.114699533584178,0,3.3
