"q","T1","T2","s","s_ref","q_min_tail","q_min_K2","q_max_K1","feasible_tail","feasible_K1","feasible_K2","feasible_blocks","feasible","n1","n2","b2","K1_tar","K1","K2_tar","K2","T_fd_budget","cost_proxy","budget_eligible"
0.2,150,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,57,57,4,4,121,216360,TRUE
0.25,150,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,57,57,4,4,113,202948,TRUE
0.5,150,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,112,57,57,4,4,76,135896,TRUE
0.2,175,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,57,57,4,4,141,252360,TRUE
0.25,175,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,57,57,4,4,132,236698,TRUE
0.5,175,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,112,57,57,4,4,88,158396,TRUE
0.2,200,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,57,57,4,4,161,288360,TRUE
0.25,200,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,57,57,4,4,151,270448,TRUE
0.5,200,8,30,15,0.180536680073481,0.177777777777778,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,112,57,57,4,4,101,180896,TRUE
0.5,150,12,30,15,0.180536680073481,0.266666666666667,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,75,57,57,4,4,76,135900,TRUE
0.5,175,12,30,15,0.180536680073481,0.266666666666667,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,75,57,57,4,4,88,158400,TRUE
0.5,200,12,30,15,0.180536680073481,0.266666666666667,0.683333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,900,900,75,57,57,4,4,101,180900,TRUE
