"q","T1","T2","s","s_ref","q_min_tail","q_min_K2","q_max_K1","feasible_tail","feasible_K1","feasible_K2","feasible_blocks","feasible","n1","n2","b2","K1_tar","K1","K2_tar","K2","T_fd_budget","cost_proxy","budget_eligible"
0.2,128,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,96,96,7,7,103,328320,TRUE
0.25,128,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,96,96,7,7,97,308000,TRUE
0.5,128,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,200,96,96,7,7,65,206400,TRUE
0.2,150,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,96,96,7,7,121,384640,TRUE
0.25,150,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,96,96,7,7,113,360800,TRUE
0.5,150,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,200,96,96,7,7,76,241600,TRUE
0.2,200,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,96,96,7,7,161,512640,TRUE
0.25,200,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,96,96,7,7,151,480800,TRUE
0.5,200,8,30,15,0.180536680073481,0.175,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,200,96,96,7,7,101,321600,TRUE
0.5,128,12,30,15,0.180536680073481,0.2625,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,133,96,96,7,7,65,206396,TRUE
0.5,150,12,30,15,0.180536680073481,0.2625,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,133,96,96,7,7,76,241596,TRUE
0.5,200,12,30,15,0.180536680073481,0.2625,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,1600,1600,133,96,96,7,7,101,321596,TRUE
