"config_id","n","pilot_id","eta","T","val_loss","seed_data","seed_split"
"IHT_n1200_h2051495b",1200,1,0.005,200,7.28388054847768,20680508,20780508
"IHT_n1200_h2051495b",1200,2,0.005,200,1.39312043489722,20680509,20780509
"IHT_n1200_h2051495b",1200,3,0.005,200,2.02063246236033,20680510,20780510
"IHT_n1200_h2051495b",1200,4,0.005,200,1.11147818381693,20680511,20780511
"IHT_n1200_h2051495b",1200,5,0.005,200,1.41643147160794,20680512,20780512
"IHT_n1200_h2051495b",1200,6,0.005,200,1.12700734817536,20680513,20780513
"IHT_n1200_h2051495b",1200,7,0.005,200,1.49795172378465,20680514,20780514
"IHT_n1200_h2051495b",1200,8,0.005,200,1.20290942741658,20680515,20780515
"IHT_n1200_h2051495b",1200,9,0.005,200,1.0829277683822,20680516,20780516
"IHT_n1200_h2051495b",1200,10,0.005,200,1.45994553622684,20680517,20780517
"IHT_n1200_h2051495b",1200,11,0.005,200,1.18282618233617,20680518,20780518
"IHT_n1200_h2051495b",1200,12,0.005,200,1.16457117934761,20680519,20780519
"IHT_n1200_h2051495b",1200,13,0.005,200,1.09166395491524,20680520,20780520
"IHT_n1200_h2051495b",1200,14,0.005,200,1.98920119080074,20680521,20780521
"IHT_n1200_h2051495b",1200,15,0.005,200,1.89083982201855,20680522,20780522
"IHT_n1200_h2051495b",1200,1,0.01,200,1.32930113116873,20680508,20780508
"IHT_n1200_h2051495b",1200,2,0.01,200,1.03397098104719,20680509,20780509
"IHT_n1200_h2051495b",1200,3,0.01,200,1.0871889312862,20680510,20780510
"IHT_n1200_h2051495b",1200,4,0.01,200,0.895285723931892,20680511,20780511
"IHT_n1200_h2051495b",1200,5,0.01,200,1.4447551712314,20680512,20780512
"IHT_n1200_h2051495b",1200,6,0.01,200,0.805120914796609,20680513,20780513
"IHT_n1200_h2051495b",1200,7,0.01,200,1.10447129999759,20680514,20780514
"IHT_n1200_h2051495b",1200,8,0.01,200,0.876108517366623,20680515,20780515
"IHT_n1200_h2051495b",1200,9,0.01,200,0.746815575208635,20680516,20780516
"IHT_n1200_h2051495b",1200,10,0.01,200,1.02387929343019,20680517,20780517
"IHT_n1200_h2051495b",1200,11,0.01,200,0.970991736819715,20680518,20780518
"IHT_n1200_h2051495b",1200,12,0.01,200,1.40985424677545,20680519,20780519
"IHT_n1200_h2051495b",1200,13,0.01,200,0.967007741139096,20680520,20780520
"IHT_n1200_h2051495b",1200,14,0.01,200,2.18992904049389,20680521,20780521
"IHT_n1200_h2051495b",1200,15,0.01,200,0.971978038404186,20680522,20780522
"IHT_n1200_h2051495b",1200,1,0.02,200,1.14096296988921,20680508,20780508
"IHT_n1200_h2051495b",1200,2,0.02,200,1.08049170270125,20680509,20780509
"IHT_n1200_h2051495b",1200,3,0.02,200,1.04086128771337,20680510,20780510
"IHT_n1200_h2051495b",1200,4,0.02,200,0.964517803716561,20680511,20780511
"IHT_n1200_h2051495b",1200,5,0.02,200,1.50739971092637,20680512,20780512
"IHT_n1200_h2051495b",1200,6,0.02,200,0.930333644204191,20680513,20780513
"IHT_n1200_h2051495b",1200,7,0.02,200,2.50733713623646e+128,20680514,20780514
"IHT_n1200_h2051495b",1200,8,0.02,200,0.937329915115067,20680515,20780515
"IHT_n1200_h2051495b",1200,9,0.02,200,0.733679121039612,20680516,20780516
"IHT_n1200_h2051495b",1200,10,0.02,200,1.08569448595444,20680517,20780517
"IHT_n1200_h2051495b",1200,11,0.02,200,1.05995451629431,20680518,20780518
"IHT_n1200_h2051495b",1200,12,0.02,200,1.40108351631438,20680519,20780519
"IHT_n1200_h2051495b",1200,13,0.02,200,1.10802710060212,20680520,20780520
"IHT_n1200_h2051495b",1200,14,0.02,200,2.28446161710532,20680521,20780521
"IHT_n1200_h2051495b",1200,15,0.02,200,1.00667979875009,20680522,20780522
"IHT_n1200_h2051495b",1200,1,0.005,400,5.49324610187121,20680508,20780508
"IHT_n1200_h2051495b",1200,2,0.005,400,0.977572171378812,20680509,20780509
"IHT_n1200_h2051495b",1200,3,0.005,400,1.09507018673975,20680510,20780510
"IHT_n1200_h2051495b",1200,4,0.005,400,0.892491224457749,20680511,20780511
"IHT_n1200_h2051495b",1200,5,0.005,400,1.34965071779203,20680512,20780512
"IHT_n1200_h2051495b",1200,6,0.005,400,0.803347229046707,20680513,20780513
"IHT_n1200_h2051495b",1200,7,0.005,400,1.05467060766581,20680514,20780514
"IHT_n1200_h2051495b",1200,8,0.005,400,0.874470074475894,20680515,20780515
