"config_id","n","pilot_id","eta","T","val_loss","seed_data","seed_split"
"IHT_n1600_h06b009d4",1600,1,0.005,200,1.24889037627335,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.005,200,1.5522115030424,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.005,200,1.87323636975287,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.005,200,1.27142694691754,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.005,200,1.39592455683662,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.005,200,1.43334000089276,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.005,200,1.48256622701278,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.005,200,5.35699218953701,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.005,200,1.44270627128215,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.005,200,3.83546399944454,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.005,200,1.35139049152719,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.005,200,1.53895477892203,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.005,200,1.40341455743911,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.005,200,1.59128203478732,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.005,200,1.25560615008727,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.01,200,0.98286484576541,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.01,200,1.25943952241126,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.01,200,1.18759472756529e+70,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.01,200,1.23361739136066,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.01,200,1.51993998854297,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.01,200,1.20422899101706,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.01,200,1.05325319337344,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.01,200,3.57075158599067,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.01,200,1.03264516056218,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.01,200,0.994915023962938,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.01,200,0.927364831370791,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.01,200,1.03820818379198,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.01,200,1.12886894840377,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.01,200,0.953134909103611,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.01,200,1.00688784332649,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.02,200,1.05533738199035,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.02,200,1.19417555722307,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.02,200,4.73139876469898e+133,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.02,200,1.14770866844748,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.02,200,1.5103899693666,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.02,200,1.29443029842953,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.02,200,0.980169295663504,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.02,200,3.54946439906225,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.02,200,0.966596229884651,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.02,200,1.12170570493739,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.02,200,0.89842803361889,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.02,200,1.14568473473942,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.02,200,1.20448548502628,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.02,200,1.02735949536251,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.02,200,0.973636024943753,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.005,400,1.00247746480507,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.005,400,1.26180414143701,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.005,400,0.846517649118001,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.005,400,1.23457371907312,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.005,400,1.52072127587801,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.005,400,1.17494630807738,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.005,400,0.995329958047212,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.005,400,3.57903675233801,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.005,400,1.03433870000813,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.005,400,1.0044698850767,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.005,400,0.925949161197213,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.005,400,1.03643305361036,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.005,400,1.11831740602859,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.005,400,0.963327075023885,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.005,400,1.0014244905179,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.01,400,1.05543406775828,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.01,400,1.1941399351517,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.01,400,2.08380219794707e+140,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.01,400,1.2059801515365,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.01,400,1.51037399271228,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.01,400,1.29347199812454,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.01,400,1.03274883704793,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.01,400,3.54976370166694,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.01,400,0.966628145582765,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.01,400,1.11943361020766,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.01,400,0.898286178458296,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.01,400,1.09108128982816,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.01,400,1.16547758738913,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.01,400,0.963102307544704,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.01,400,0.995633523993098,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.02,400,1.05518807294444,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.02,400,1.19374384361788,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.02,400,1.01042893061173e+155,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.02,400,1.14767592736253,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.02,400,1.51038690718449,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.02,400,1.2966033404442,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.02,400,0.980511656298374,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.02,400,3.54869492574713,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.02,400,0.966719777696991,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.02,400,1.12257423300654,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.02,400,0.901438798453347,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.02,400,1.14808713698304,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.02,400,1.20408781902702,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.02,400,1.02741249507381,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.02,400,0.973037030509061,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.005,800,1.055509990547,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.005,800,1.19412333999568,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.005,800,0.931159339836814,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.005,800,1.20596630171756,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.005,800,1.51035906649586,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.005,800,1.29276696310589,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.005,800,0.970710427431489,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.005,800,3.5500047697793,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.005,800,0.966667801662992,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.005,800,1.11440829370608,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.005,800,0.898235288386036,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.005,800,1.09030519996543,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.005,800,1.16544692623452,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.005,800,0.981592585138801,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.005,800,0.9956106233418,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.01,800,1.05518807720933,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.01,800,1.19374388422111,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.01,800,4.25110696730624e+154,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.01,800,1.20614268258287,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.01,800,1.51038690677546,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.01,800,1.29660322529405,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.01,800,1.03371877181334,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.01,800,3.54869496454761,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.01,800,0.966719768864583,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.01,800,1.12257404937487,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.01,800,0.901438758170094,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.01,800,1.09129355864078,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.01,800,1.16578042679441,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.01,800,0.96302107833284,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.01,800,0.995856794638739,20690522,20790522
"IHT_n1600_h06b009d4",1600,1,0.02,800,1.05518806791695,20690508,20790508
"IHT_n1600_h06b009d4",1600,2,0.02,800,1.19374351137948,20690509,20790509
"IHT_n1600_h06b009d4",1600,3,0.02,800,1.13430407071656e+155,20690510,20790510
"IHT_n1600_h06b009d4",1600,4,0.02,800,1.14767591797187,20690511,20790511
"IHT_n1600_h06b009d4",1600,5,0.02,800,1.5103869072945,20690512,20790512
"IHT_n1600_h06b009d4",1600,6,0.02,800,1.29660354207167,20690513,20790513
"IHT_n1600_h06b009d4",1600,7,0.02,800,0.980511670327093,20690514,20790514
"IHT_n1600_h06b009d4",1600,8,0.02,800,3.5486948587989,20690515,20790515
"IHT_n1600_h06b009d4",1600,9,0.02,800,0.966719826525145,20690516,20790516
"IHT_n1600_h06b009d4",1600,10,0.02,800,1.12257424437217,20690517,20790517
"IHT_n1600_h06b009d4",1600,11,0.02,800,0.901439067623542,20690518,20790518
"IHT_n1600_h06b009d4",1600,12,0.02,800,1.14808736494989,20690519,20790519
"IHT_n1600_h06b009d4",1600,13,0.02,800,1.20408802659039,20690520,20790520
"IHT_n1600_h06b009d4",1600,14,0.02,800,1.02741248329569,20690521,20790521
"IHT_n1600_h06b009d4",1600,15,0.02,800,0.973036996668172,20690522,20790522
