"config_id","n","pilot_id","eta","T","val_loss","seed_data","seed_split"
"IHT_n2400_h1d7d87f6",2400,1,0.005,200,1.43710100327319,20710508,20810508
"IHT_n2400_h1d7d87f6",2400,2,0.005,200,1.32643726623349,20710509,20810509
"IHT_n2400_h1d7d87f6",2400,3,0.005,200,1.01582871530071,20710510,20810510
"IHT_n2400_h1d7d87f6",2400,4,0.005,200,1.69597772757854,20710511,20810511
"IHT_n2400_h1d7d87f6",2400,5,0.005,200,1.06073947818228,20710512,20810512
"IHT_n2400_h1d7d87f6",2400,6,0.005,200,7.04605081241864,20710513,20810513
"IHT_n2400_h1d7d87f6",2400,7,0.005,200,1.39211706348816,20710514,20810514
"IHT_n2400_h1d7d87f6",2400,8,0.005,200,1.23965717231809,20710515,20810515
"IHT_n2400_h1d7d87f6",2400,9,0.005,200,1.12715335412524,20710516,20810516
"IHT_n2400_h1d7d87f6",2400,10,0.005,200,1.24608436283096,20710517,20810517
"IHT_n2400_h1d7d87f6",2400,11,0.005,200,1.21728231316947,20710518,20810518
"IHT_n2400_h1d7d87f6",2400,12,0.005,200,1.07397215081492,20710519,20810519
"IHT_n2400_h1d7d87f6",2400,13,0.005,200,2.10101996921151,20710520,20810520
"IHT_n2400_h1d7d87f6",2400,14,0.005,200,1.0938861009486,20710521,20810521
"IHT_n2400_h1d7d87f6",2400,15,0.005,200,1.24284124772061,20710522,20810522
"IHT_n2400_h1d7d87f6",2400,1,0.01,200,1.06808494022313,20710508,20810508
"IHT_n2400_h1d7d87f6",2400,2,0.01,200,0.909395690681006,20710509,20810509
"IHT_n2400_h1d7d87f6",2400,3,0.01,200,1.02351872049878,20710510,20810510
"IHT_n2400_h1d7d87f6",2400,4,0.01,200,0.993572289427294,20710511,20810511
"IHT_n2400_h1d7d87f6",2400,5,0.01,200,0.874544226258001,20710512,20810512
"IHT_n2400_h1d7d87f6",2400,6,0.01,200,1.07062179538469,20710513,20810513
"IHT_n2400_h1d7d87f6",2400,7,0.01,200,1.10678463108535,20710514,20810514
"IHT_n2400_h1d7d87f6",2400,8,0.01,200,0.928731118174941,20710515,20810515
"IHT_n2400_h1d7d87f6",2400,9,0.01,200,1.10911043196054,20710516,20810516
"IHT_n2400_h1d7d87f6",2400,10,0.01,200,0.983934238606181,20710517,20810517
"IHT_n2400_h1d7d87f6",2400,11,0.01,200,0.894226805198259,20710518,20810518
"IHT_n2400_h1d7d87f6",2400,12,0.01,200,1.13243899957167,20710519,20810519
"IHT_n2400_h1d7d87f6",2400,13,0.01,200,1.99925129919093,20710520,20810520
"IHT_n2400_h1d7d87f6",2400,14,0.01,200,1.01690543951202,20710521,20810521
"IHT_n2400_h1d7d87f6",2400,15,0.01,200,0.914590181714053,20710522,20810522
"IHT_n2400_h1d7d87f6",2400,1,0.02,200,1.07690173162593,20710508,20810508
"IHT_n2400_h1d7d87f6",2400,2,0.02,200,0.917431440325037,20710509,20810509
"IHT_n2400_h1d7d87f6",2400,3,0.02,200,1.1000648477716,20710510,20810510
"IHT_n2400_h1d7d87f6",2400,4,0.02,200,1.11571340532834,20710511,20810511
"IHT_n2400_h1d7d87f6",2400,5,0.02,200,0.861523980586659,20710512,20810512
"IHT_n2400_h1d7d87f6",2400,6,0.02,200,1.08445508438464,20710513,20810513
"IHT_n2400_h1d7d87f6",2400,7,0.02,200,1.07991700660951,20710514,20810514
"IHT_n2400_h1d7d87f6",2400,8,0.02,200,0.929244626807525,20710515,20810515
"IHT_n2400_h1d7d87f6",2400,9,0.02,200,1.10047942110858,20710516,20810516
"IHT_n2400_h1d7d87f6",2400,10,0.02,200,0.980659622501854,20710517,20810517
"IHT_n2400_h1d7d87f6",2400,11,0.02,200,0.932430916731594,20710518,20810518
