"config_id","n","pilot_id","eta","T","val_loss","seed_data","seed_split"
"IHT_n2400_h1efc3845",2400,1,0.02,200,0.99318738067121,20690508,20790508
"IHT_n2400_h1efc3845",2400,2,0.02,200,4.51691731072616e+150,20690509,20790509
"IHT_n2400_h1efc3845",2400,3,0.02,200,1.26664351867413,20690510,20790510
"IHT_n2400_h1efc3845",2400,4,0.02,200,1.07163519653824,20690511,20790511
"IHT_n2400_h1efc3845",2400,5,0.02,200,1.32070780606248,20690512,20790512
"IHT_n2400_h1efc3845",2400,6,0.02,200,0.888315772429522,20690513,20790513
"IHT_n2400_h1efc3845",2400,7,0.02,200,0.919387602565019,20690514,20790514
"IHT_n2400_h1efc3845",2400,8,0.02,200,0.965583509649893,20690515,20790515
"IHT_n2400_h1efc3845",2400,9,0.02,200,1.19610625260116,20690516,20790516
"IHT_n2400_h1efc3845",2400,10,0.02,200,1.02661677679419,20690517,20790517
"IHT_n2400_h1efc3845",2400,11,0.02,200,0.933686396794439,20690518,20790518
"IHT_n2400_h1efc3845",2400,12,0.02,200,4.04161440272049e+84,20690519,20790519
"IHT_n2400_h1efc3845",2400,13,0.02,200,1.05456351797555,20690520,20790520
"IHT_n2400_h1efc3845",2400,14,0.02,200,4.31071154503151e+81,20690521,20790521
"IHT_n2400_h1efc3845",2400,15,0.02,200,1.67668362698646e+76,20690522,20790522
"IHT_n2400_h1efc3845",2400,1,0.01,400,1.00386251550893,20690508,20790508
"IHT_n2400_h1efc3845",2400,2,0.01,400,1.07937716947361,20690509,20790509
"IHT_n2400_h1efc3845",2400,3,0.01,400,1.26664589213482,20690510,20790510
"IHT_n2400_h1efc3845",2400,4,0.01,400,1.05482634350034,20690511,20790511
"IHT_n2400_h1efc3845",2400,5,0.01,400,1.39047137574746,20690512,20790512
"IHT_n2400_h1efc3845",2400,6,0.01,400,0.888328578605011,20690513,20790513
"IHT_n2400_h1efc3845",2400,7,0.01,400,0.919388086467881,20690514,20790514
"IHT_n2400_h1efc3845",2400,8,0.01,400,1.01467881984435,20690515,20790515
"IHT_n2400_h1efc3845",2400,9,0.01,400,1.04330000436829,20690516,20790516
"IHT_n2400_h1efc3845",2400,10,0.01,400,1.04773849495229,20690517,20790517
"IHT_n2400_h1efc3845",2400,11,0.01,400,0.912582505654571,20690518,20790518
"IHT_n2400_h1efc3845",2400,12,0.01,400,2.21387096342394,20690519,20790519
"IHT_n2400_h1efc3845",2400,13,0.01,400,1.07523386868372,20690520,20790520
"IHT_n2400_h1efc3845",2400,14,0.01,400,0.870082245522838,20690521,20790521
"IHT_n2400_h1efc3845",2400,15,0.01,400,0.976261167382547,20690522,20790522
"IHT_n2400_h1efc3845",2400,1,0.005,800,1.00386175293176,20690508,20790508
"IHT_n2400_h1efc3845",2400,2,0.005,800,1.05642616062885,20690509,20790509
"IHT_n2400_h1efc3845",2400,3,0.005,800,1.2666465250498,20690510,20790510
"IHT_n2400_h1efc3845",2400,4,0.005,800,1.05483580658238,20690511,20790511
"IHT_n2400_h1efc3845",2400,5,0.005,800,1.39046987366052,20690512,20790512
"IHT_n2400_h1efc3845",2400,6,0.005,800,0.888335611442899,20690513,20790513
"IHT_n2400_h1efc3845",2400,7,0.005,800,0.919388342988158,20690514,20790514
"IHT_n2400_h1efc3845",2400,8,0.005,800,1.01465704961089,20690515,20790515
"IHT_n2400_h1efc3845",2400,9,0.005,800,1.02366208495651,20690516,20790516
"IHT_n2400_h1efc3845",2400,10,0.005,800,1.04773659501976,20690517,20790517
"IHT_n2400_h1efc3845",2400,11,0.005,800,0.912583300557551,20690518,20790518
"IHT_n2400_h1efc3845",2400,12,0.005,800,1.85678303991595,20690519,20790519
"IHT_n2400_h1efc3845",2400,13,0.005,800,1.05431872354787,20690520,20790520
"IHT_n2400_h1efc3845",2400,14,0.005,800,0.870054116830005,20690521,20790521
"IHT_n2400_h1efc3845",2400,15,0.005,800,0.976261286921638,20690522,20790522
