"c_r","T1","T2","n1","n2","b2","K1_tar","K1","K2_tar","K2","feasible_all","median_l2","mean_l2","iqr_l2","median_runtime","cost_proxy","eligible"
1,128,12,1463,337,28,64,64,7,2,TRUE,1.27883758565905,4.73217623895464,0.675483036800217,15.0550000000001,187600,FALSE
0.5,128,12,1232,568,47,64,64,7,4,TRUE,1.34116064177484,1.36754379917259,0.225614351756959,15.1049999999999,158260,TRUE
1,128,8,1463,337,42,64,64,7,4,TRUE,1.35485975108907,1.36740522906274,0.263634544144386,13.6949999999999,187600,TRUE
1,128,4,1463,337,84,64,64,7,7,TRUE,1.49363364520986,1.49467390249172,0.323675771433796,16.385,187600,TRUE
0.5,128,8,1232,568,71,64,64,7,7,TRUE,1.5326739676532,1.59060859235519,0.314845468726962,13.0900000000001,158264,TRUE
0.5,128,4,1232,568,142,64,64,7,7,TRUE,1.61784685884989,1.61284772990213,0.377364833604059,12.3799999999999,158264,TRUE
0.25,128,12,936,864,72,64,64,7,7,TRUE,1.81872737565924,1.90450086077021,0.447872132529009,11.8249999999999,120672,TRUE
0.25,128,8,936,864,108,64,64,7,7,TRUE,1.94057240064531,1.9858054319277,0.403150128480714,13.155,120672,TRUE
0.25,128,4,936,864,216,64,64,7,7,TRUE,2.07927191930344,2.1286600638247,0.474508773947172,12.1699999999999,120672,TRUE
1,96,12,1463,337,28,64,64,7,2,TRUE,2.12295194956908,4.98881930392274,0.698216609614207,11.765,140784,FALSE
1,96,8,1463,337,42,64,64,7,4,TRUE,2.2111382263555,2.24150387203991,0.347161557159974,10.765,140784,TRUE
0.5,96,12,1232,568,47,64,64,7,4,TRUE,2.22234662691368,2.2580745072016,0.471155865396915,10.96,118836,TRUE
0.5,96,8,1232,568,71,64,64,7,7,TRUE,2.50721936134503,2.49875589578333,0.475756155363845,11.21,118840,TRUE
1,96,4,1463,337,84,64,64,7,7,TRUE,2.53137389390335,2.54120422520867,0.439889170693406,10.6000000000001,140784,TRUE
0.5,96,4,1232,568,142,64,64,7,7,TRUE,2.72951555826466,2.72070045879847,0.471221656631616,10.0949999999999,118840,TRUE
0.25,96,12,936,864,72,64,64,7,7,TRUE,2.79941883822899,2.79301689710729,0.480692341142025,9.70999999999992,90720,TRUE
0.25,96,8,936,864,108,64,64,7,7,TRUE,2.91716587731565,3.00141090178612,0.509433768470734,9.81999999999999,90720,TRUE
0.25,96,4,936,864,216,64,64,7,7,TRUE,3.15860999712656,3.19240410402304,0.580306365194013,8.86999999999995,90720,TRUE
1,64,12,1463,337,28,64,64,7,2,TRUE,3.62204540625079,6.95136607262195,1.48451507191506,7.80499999999995,93968,FALSE
0.5,64,12,1232,568,47,64,64,7,4,TRUE,3.67314008044019,3.68873594792902,0.458820299013406,7.46000000000004,79412,TRUE
1,64,8,1463,337,42,64,64,7,4,TRUE,3.86144535603784,3.86370548027713,0.320818319171848,7.55999999999995,93968,TRUE
0.5,64,8,1232,568,71,64,64,7,7,TRUE,4.21179044329918,4.2663007576147,0.619815872656912,6.93000000000006,79416,TRUE
1,64,4,1463,337,84,64,64,7,7,TRUE,4.26426146169173,4.29534279569925,0.453120229197815,7.06000000000017,93968,TRUE
0.25,64,12,936,864,72,64,64,7,7,TRUE,4.30543085876263,4.49401761081228,0.557475072879343,6.70500000000004,60768,TRUE
0.5,64,4,1232,568,142,64,64,7,7,TRUE,4.44055741917391,4.44703677713437,0.434153365733249,6.66000000000008,79416,TRUE
0.25,64,8,936,864,108,64,64,7,7,TRUE,4.62490349592214,4.71023037238581,0.742184938145673,6.35500000000002,60768,TRUE
0.25,64,4,936,864,216,64,64,7,7,TRUE,5.06246715773683,5.17370757197862,0.496576632220001,6.79000000000008,60768,TRUE
