"n","T_fd_budget","T_fd","K_fd","median_l2","mean_l2","iqr_l2","median_runtime","ratio_to_budget"
1200,264,330,64,0.32441663537381,0.326140287758172,0.0846751881440203,12.145,1.25
1200,264,396,64,0.338704764053656,0.337879074639103,0.0909807392343767,14.52,1.5
1200,264,264,64,0.38140263363405,0.366915053365806,0.0993394920088368,9.79,1
1200,264,198,64,0.718883881030036,0.690356133278885,0.202115479247863,7.565,0.75
2000,264,264,64,0.27054453198973,0.265672132356594,0.0582970831991576,14.685,1
2000,264,330,64,0.281789185959166,0.276251630794538,0.0518488017323329,18.305,1.25
2000,264,396,64,0.295152991730581,0.292297434434236,0.052504335067023,22.315,1.5
2000,264,198,64,0.420197226462195,0.40679468409838,0.121122667531388,11.08,0.75
2800,264,264,64,0.218399350341653,0.219077496481538,0.046080360247356,17.485,1
2800,264,330,64,0.23253604830069,0.231595502768593,0.0517547754945034,21.81,1.25
2800,264,396,64,0.245024490811836,0.240904789243271,0.0518479197917245,25.78,1.5
2800,264,198,64,0.271930513624002,0.276610026453824,0.109640211697872,14,0.75
