"arm","model","q","frac_stage1","frac_stage2","T1","T2","n1","n2","b2","s_ref","K1_tar","K1","K2_tar","K2","cost_proxy","T_fd_budget","eligible","runtime_sec","l2_error","method","T_fd","K_fd_tar","K_fd","T_fs","b_fs","K_fs_tar","K_fs","experiment_id","config_id","n","p","s_star","s","rep_id","q_selected","T1_selected","T2_selected","seed_data","seed_algo_ts","seed_algo_fs","df_X","df_eps","theta_magnitude","validation_metric","tuning_selection_rule"
"TS","linear",0.5,0.5,0.5,150,8,900,900,112,5,38,38,8,8,135896,76,TRUE,16.1499999999999,0.234023024189819,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,1,0.5,150,8,20390421,20400421,20500421,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,76,TRUE,10.95,0.475749075913212,"FD_budget",76,38,38,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,1,0.5,150,8,20390421,20400421,20500421,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,TRUE,1.6400000000001,5.25327479903865,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,1,0.5,150,8,20390421,20400421,20500421,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,150,8,900,900,112,5,38,38,8,8,135896,76,TRUE,15.9099999999999,0.178756787876619,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,2,0.5,150,8,20390422,20400422,20500422,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,76,TRUE,11.0800000000002,0.515650497115424,"FD_budget",76,38,38,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,2,0.5,150,8,20390422,20400422,20500422,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,TRUE,2.05999999999995,5.99313153933603,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,2,0.5,150,8,20390422,20400422,20500422,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,150,8,900,900,112,5,38,38,8,8,135896,76,TRUE,16.48,0.248866963949658,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,3,0.5,150,8,20390423,20400423,20500423,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,76,TRUE,10.8699999999999,0.275259143356668,"FD_budget",76,38,38,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,3,0.5,150,8,20390423,20400423,20500423,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,TRUE,1.56000000000017,6.03955743939611,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,3,0.5,150,8,20390423,20400423,20500423,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,150,8,900,900,112,5,38,38,8,8,135896,76,TRUE,16.98,0.180727420077001,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c",1800,1800,5,10,4,0.5,150,8,20390424,20400424,20500424,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
