"s_star","s","T_fd_budget","method","median_l2","mean_l2","iqr_l2","median_runtime"
5,10,234,"FD_budget",0.183233537319934,0.184262244626507,0.0608711508691641,16.8
5,10,234,"FS",5.94132234252672,6.19284950726107,1.64047746610994,0.779999999999994
5,10,234,"TS",0.17970384759454,0.182932603969453,0.0612393482287549,17.795
10,20,264,"FD_budget",0.230319638010481,0.232795070449764,0.0628484750816258,17.765
10,20,264,"FS",10.4070107464325,10.5024916633286,1.53546773088667,0.810000000000002
10,20,264,"TS",0.229343114959687,0.235176237784572,0.0452987305897745,20.31
15,30,283,"FD_budget",0.265722133290236,0.269837199288716,0.0326588543142725,19.66
15,30,283,"FS",13.6110243577593,13.6201735297442,1.66024524089513,0.845000000000027
15,30,283,"TS",0.266293589142304,0.266701771779608,0.0455742428265515,22.155
20,40,296,"FD_budget",0.323175661220461,0.322960059625711,0.0519516672384005,20.785
20,40,296,"FS",15.947557854825,15.8392520578328,1.89637382833434,0.769999999999982
20,40,296,"TS",0.310047201291386,0.312128426502813,0.0479522799441597,22.995
