"model","rep_id","radius_id","radius","cand_id","K_name","regime","multiplier","K","block_size","q_top","topq_error","l2_error","linf_error","ref_grad_norm"
"linear",1,1,4,1,"K1_global","global",1,160,12,125,13.4741421264287,14.5468909282983,8.58246491144739,20
"linear",1,1,4,1,"K2_c10","local",10,64,31,125,13.7691303135694,15.8390801202202,7.08916458429734,20
"linear",1,1,4,1,"K2_c12","local",12,77,25,125,14.2243873285815,15.8059431838144,7.85421392971928,20
"linear",1,1,4,1,"K2_c14","local",14,90,22,125,13.9183786672008,15.2930015035317,7.64656475746888,20
"linear",1,1,4,2,"K1_global","global",1,160,12,125,13.9734050975445,14.6958132899048,6.23501449986662,20
"linear",1,1,4,2,"K2_c10","local",10,64,31,125,14.2545889749184,15.6535996684317,5.81358855854539,20
"linear",1,1,4,2,"K2_c12","local",12,77,25,125,14.2238869779792,15.5307017882711,5.97027915529276,20
"linear",1,1,4,2,"K2_c14","local",14,90,22,125,13.8699553691453,15.0479408049996,6.50939093865655,20
"linear",1,1,4,3,"K1_global","global",1,160,12,125,13.4626816057545,14.3836953724635,8.64958360122956,20
"linear",1,1,4,3,"K2_c10","local",10,64,31,125,14.4860438380698,15.9241892390151,8.59573306268796,20
"linear",1,1,4,3,"K2_c12","local",12,77,25,125,14.2825277724118,15.6432319624561,8.77323698782597,20
"linear",1,1,4,3,"K2_c14","local",14,90,22,125,14.4194797086444,15.655786233803,8.97186387860833,20
"linear",1,1,4,4,"K1_global","global",1,160,12,125,13.8639032082365,14.856830855112,9.07729827284046,20
"linear",1,1,4,4,"K2_c10","local",10,64,31,125,13.8159703807016,15.5412528807966,7.63536177801907,20
"linear",1,1,4,4,"K2_c12","local",12,77,25,125,13.6106959541923,15.1940897760976,7.76050498752427,20
"linear",1,1,4,4,"K2_c14","local",14,90,22,125,13.2785684859739,14.7781287268764,7.87418876597349,20
"linear",1,1,4,5,"K1_global","global",1,160,12,125,13.8682436763915,14.6740738907158,6.67578032824366,20
"linear",1,1,4,5,"K2_c10","local",10,64,31,125,13.7395674894145,15.4987263885047,4.85233559681775,20
"linear",1,1,4,5,"K2_c12","local",12,77,25,125,14.1849752194306,15.7007215490521,5.74469824108013,20
"linear",1,1,4,5,"K2_c14","local",14,90,22,125,14.3665280822654,15.5175509314595,6.17304339153544,20
"linear",1,1,4,6,"K1_global","global",1,160,12,125,13.4722328912301,14.3809048849091,7.1648896085303,20
"linear",1,1,4,6,"K2_c10","local",10,64,31,125,13.3869336484714,15.2293538412906,5.07225356607432,20
"linear",1,1,4,6,"K2_c12","local",12,77,25,125,13.524144594736,15.3509708768157,5.14825786010779,20
"linear",1,1,4,6,"K2_c14","local",14,90,22,125,13.2213263183958,14.6366188488527,6.30839705123896,20
"linear",1,1,4,7,"K1_global","global",1,160,12,125,13.4768382456935,14.4406683295217,7.42387959566389,20
