"model","radius","K_name","regime","multiplier","K","block_size","q_top","median_topq_error","q25_topq_error","q75_topq_error","mean_topq_error","median_l2_error","median_linf_error","median_ref_grad_norm"
"linear",0.1,"K1_global","global",1,160,12,125,1.71243314364846,1.65735388349472,1.7776898443379,1.71370749902767,2.10243068483075,0.287344924762748,0.5
"linear",0.1,"K2_c10","local",10,64,31,125,2.38977881087925,2.26931642532561,2.51500080392052,2.37322211944033,2.91478856298309,0.39778916482444,0.5
"linear",0.1,"K2_c12","local",12,77,25,125,2.25048842317662,2.10082314916568,2.37144613358782,2.2369829596558,2.76313795476972,0.374252570030972,0.5
"linear",0.1,"K2_c14","local",14,90,22,125,2.10415679096576,1.9270433265269,2.22431226819154,2.09340179934386,2.57787569210157,0.357709046751914,0.5
"linear",0.25,"K1_global","global",1,160,12,125,1.92655092435631,1.85402336495796,1.99353751189366,1.92009566408409,2.32506736709029,0.433061315534346,1.25
"linear",0.25,"K2_c10","local",10,64,31,125,2.60793992353634,2.4844428930407,2.75125010650227,2.59991439101549,3.16928702892093,0.454753718652285,1.25
"linear",0.25,"K2_c12","local",12,77,25,125,2.4427537916043,2.30135580130916,2.59161469249953,2.44848829158815,2.98431519012751,0.43305418018087,1.25
"linear",0.25,"K2_c14","local",14,90,22,125,2.31733097838329,2.16420217510597,2.4232930464472,2.30205275780228,2.81852612559485,0.429291112428831,1.25
"linear",0.5,"K1_global","global",1,160,12,125,2.48352188968573,2.39716492206342,2.55196683200497,2.47320438582301,2.89903867255335,0.876198007091882,2.5
"linear",0.5,"K2_c10","local",10,64,31,125,3.14800401767741,3.00996866940314,3.29667194385626,3.14735466408695,3.78788277407976,0.740479437947458,2.5
"linear",0.5,"K2_c12","local",12,77,25,125,2.98469987129766,2.84813798657618,3.13006386730801,2.99331587215001,3.59371941088519,0.774879918428209,2.5
"linear",0.5,"K2_c14","local",14,90,22,125,2.82637197131604,2.71337936156096,2.96627600392493,2.83549500233391,3.38273594321519,0.789427261361459,2.5
"linear",1,"K1_global","global",1,160,12,125,3.92736905407534,3.84131515690982,3.99838774966029,3.92621423326659,4.38103898664715,1.75797930336329,5
"linear",1,"K2_c10","local",10,64,31,125,4.53303488689018,4.37472212048164,4.68950661860647,4.53301117597054,5.33902659336444,1.47114315531816,5
"linear",1,"K2_c12","local",12,77,25,125,4.38700771488895,4.22922528613045,4.506335185869,4.37801482498369,5.11946251406783,1.53494747111225,5
"linear",1,"K2_c14","local",14,90,22,125,4.19960279956106,4.07017476095497,4.31953867697714,4.19664922934236,4.85630401844352,1.56553921008726,5
"linear",2,"K1_global","global",1,160,12,125,7.14420119016683,7.00783585317282,7.28526238171283,7.14542610128899,7.73310419958037,3.53499705923215,10
"linear",2,"K2_c10","local",10,64,31,125,7.68585492219026,7.5133744030148,7.88666193820835,7.69587084007546,8.81874346289588,2.96697009682059,10
"linear",2,"K2_c12","local",12,77,25,125,7.57270393252758,7.37569546285816,7.73770791974371,7.54960080468688,8.57563297220148,3.08885777785768,10
"linear",2,"K2_c14","local",14,90,22,125,7.32946454313559,7.19514995866219,7.49133972603063,7.33543505207795,8.23592727881672,3.19564518187411,10
"linear",4,"K1_global","global",1,160,12,125,13.8243433379515,13.4978836662255,14.1084872500604,13.8087923485762,14.6952535126624,7.59022403878448,20
"linear",4,"K2_c10","local",10,64,31,125,14.2530952237157,13.9155699509104,14.5957070025236,14.2730111231927,16.1144120623606,6.2678814992058,20
"linear",4,"K2_c12","local",12,77,25,125,14.0893239064634,13.7832773844989,14.4459951939218,14.1163392908391,15.7548356028523,6.50609537220879,20
"linear",4,"K2_c14","local",14,90,22,125,13.8820494752313,13.5504250289386,14.1309382773546,13.8435835914244,15.2855678458948,6.7682535953713,20
