"model","rep_id","iter","l2_error","tp","fp","fn","precision","recall","f1","jaccard_prev","hamming_prev","window_union_size","window_union_false_size","false_effective_width_current"
"linear",1,0,4.74513812292805,0,0,10,NA,0,NA,NA,NA,0,0,NA
"linear",1,1,4.62421913485127,10,10,0,0.5,1,0.666666666666667,1,20,20,10,10
"linear",1,2,4.50685369424345,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,3,4.3930626276831,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,4,4.2827905288709,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,5,4.1764214741082,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,6,4.0727523330318,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,7,3.97211190690866,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,8,3.87477757357744,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,9,3.78075894173495,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,10,3.69001889168768,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,11,3.60090632546745,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,12,3.51445349442292,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,13,3.43043369500045,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,14,3.34867549542506,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,15,3.26903741621045,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,16,3.1918343084997,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,17,3.11805177482209,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,18,3.04722179501028,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,19,2.97878232430908,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,20,2.91227812509877,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,21,2.84767820043403,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,22,2.78472486247649,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,23,2.72341322572196,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,24,2.66354211137784,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,25,2.60514994091446,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,26,2.54828694503787,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,27,2.4929916338585,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,28,2.43906688802603,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,29,2.3864686054177,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,30,2.33510459916797,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,31,2.28503307288288,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,32,2.23612504242837,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,33,2.18837020126295,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,34,2.14180194622759,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,35,2.09646115272833,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,36,2.05237662789711,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,37,2.00951010240746,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,38,1.96778918846468,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,39,1.92748286766295,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,40,1.88834672496006,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,45,1.70659823240771,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,50,1.54474898748752,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,55,1.39869589849811,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
