"coord_rank","original_coord","is_true_support"
1,1,TRUE
2,2,TRUE
3,3,TRUE
4,4,TRUE
5,5,TRUE
6,6,TRUE
7,7,TRUE
8,8,TRUE
9,9,TRUE
10,10,TRUE
11,54,FALSE
12,117,FALSE
13,165,FALSE
14,213,FALSE
15,429,FALSE
16,551,FALSE
17,25,FALSE
18,61,FALSE
19,79,FALSE
20,107,FALSE
21,108,FALSE
22,109,FALSE
23,133,FALSE
24,134,FALSE
25,176,FALSE
26,188,FALSE
27,209,FALSE
28,233,FALSE
29,234,FALSE
30,241,FALSE
31,271,FALSE
32,276,FALSE
33,277,FALSE
34,290,FALSE
35,299,FALSE
36,307,FALSE
37,327,FALSE
38,354,FALSE
39,357,FALSE
40,395,FALSE
41,434,FALSE
42,489,FALSE
43,507,FALSE
44,512,FALSE
45,531,FALSE
46,569,FALSE
47,589,FALSE
48,51,FALSE
49,75,FALSE
50,77,FALSE
51,94,FALSE
52,102,FALSE
53,114,FALSE
54,116,FALSE
55,118,FALSE
56,126,FALSE
57,129,FALSE
58,131,FALSE
59,153,FALSE
60,160,FALSE
61,164,FALSE
62,169,FALSE
63,173,FALSE
64,220,FALSE
65,223,FALSE
66,257,FALSE
67,259,FALSE
68,263,FALSE
69,264,FALSE
70,285,FALSE
71,291,FALSE
72,292,FALSE
73,294,FALSE
74,302,FALSE
75,309,FALSE
76,314,FALSE
77,335,FALSE
78,342,FALSE
79,344,FALSE
80,348,FALSE
81,384,FALSE
82,386,FALSE
83,387,FALSE
84,396,FALSE
85,406,FALSE
86,408,FALSE
87,413,FALSE
88,419,FALSE
89,432,FALSE
90,437,FALSE
91,445,FALSE
92,470,FALSE
93,473,FALSE
94,476,FALSE
95,479,FALSE
96,494,FALSE
97,498,FALSE
98,499,FALSE
99,511,FALSE
100,515,FALSE
101,545,FALSE
102,548,FALSE
103,557,FALSE
104,567,FALSE
105,582,FALSE
106,586,FALSE
107,587,FALSE
108,599,FALSE
109,11,FALSE
110,13,FALSE
111,17,FALSE
112,19,FALSE
113,33,FALSE
114,34,FALSE
115,35,FALSE
116,42,FALSE
117,47,FALSE
118,49,FALSE
119,52,FALSE
120,59,FALSE
121,64,FALSE
122,71,FALSE
123,76,FALSE
124,86,FALSE
125,92,FALSE
126,97,FALSE
127,98,FALSE
128,99,FALSE
129,103,FALSE
130,113,FALSE
131,115,FALSE
132,124,FALSE
133,128,FALSE
134,141,FALSE
135,145,FALSE
136,146,FALSE
137,150,FALSE
138,151,FALSE
139,152,FALSE
140,154,FALSE
141,159,FALSE
142,177,FALSE
143,181,FALSE
144,182,FALSE
145,189,FALSE
146,190,FALSE
147,191,FALSE
148,196,FALSE
149,217,FALSE
150,221,FALSE
151,222,FALSE
152,225,FALSE
153,236,FALSE
154,237,FALSE
155,239,FALSE
156,240,FALSE
157,252,FALSE
158,253,FALSE
159,265,FALSE
160,270,FALSE
161,273,FALSE
162,274,FALSE
163,275,FALSE
164,278,FALSE
165,287,FALSE
166,295,FALSE
167,300,FALSE
168,301,FALSE
169,305,FALSE
170,312,FALSE
171,318,FALSE
172,321,FALSE
173,331,FALSE
174,336,FALSE
175,340,FALSE
176,343,FALSE
177,345,FALSE
178,351,FALSE
179,355,FALSE
180,358,FALSE
181,359,FALSE
182,369,FALSE
183,373,FALSE
184,376,FALSE
185,377,FALSE
186,388,FALSE
187,391,FALSE
188,397,FALSE
189,399,FALSE
190,400,FALSE
191,409,FALSE
192,411,FALSE
193,415,FALSE
194,417,FALSE
195,418,FALSE
196,420,FALSE
197,426,FALSE
198,433,FALSE
199,438,FALSE
200,439,FALSE
201,442,FALSE
202,449,FALSE
203,451,FALSE
204,456,FALSE
205,462,FALSE
206,464,FALSE
207,465,FALSE
208,469,FALSE
209,471,FALSE
