"model","iter","median_l2","q25_l2","q75_l2","mean_precision","mean_recall","mean_f1","mean_jaccard_prev","mean_hamming_prev","median_window_union_size","median_window_union_false_size","effective_support_width_all","effective_support_width_noise"
"linear",0,4.74513812292805,4.74513812292805,4.74513812292805,NA,0,NA,NA,NA,0,0,NA,NA
"linear",1,4.62684130233477,4.62124869109484,4.63189824978731,0.499,0.998,0.665333333333333,1,20,20,10,130.815861396318,424.633646176503
"linear",2,4.51252655052397,4.50165416815634,4.52266391901388,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",3,4.40201648734503,4.38620187117921,4.41711196187784,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",4,4.29511420721811,4.27489271993284,4.31484319729084,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",5,4.19174177968186,4.16720899096584,4.21639668429477,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",6,4.09177346704822,4.06355995528398,4.12132462086461,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",7,3.99457976745354,3.96376694622792,4.02796773563775,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",8,3.8994456662286,3.86732579747723,3.93821912052058,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",9,3.80693863242466,3.77244134530374,3.85112218263824,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",10,3.71732780456208,3.68169600067097,3.7660700986911,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",11,3.63112297697118,3.59325428836188,3.68156423264102,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",12,3.54741377215363,3.50730302476581,3.60116202045541,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",13,3.46587476061172,3.42366127159484,3.52319426653617,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",14,3.38635168419805,3.34410383737525,3.44689956997219,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",15,3.30896977642392,3.2672041867084,3.37255491521054,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",16,3.23445494901086,3.19065474684494,3.30097787536893,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",17,3.16318591162434,3.11685091862439,3.23189340680756,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",18,3.09402408594071,3.04588845002996,3.16682771725595,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",19,3.02663598649324,2.97609670662933,3.10189099565407,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",20,2.9612709544267,2.90746797152558,3.03812851093655,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",21,2.89728707759778,2.84265584765744,2.97541752407288,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",22,2.83350502370132,2.77921246759257,2.91429878190378,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",23,2.77125438670457,2.71726788880168,2.85452416063939,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",24,2.7128892967954,2.65829464971732,2.79587711158999,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
