"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"FD (Baseline)","FD",0,15.8113883008419,15.8113883008419,15.8113883008419,100
"FD (Baseline)","FD",1,14.9681668494181,14.9265523691695,15.0013400001987,100
"FD (Baseline)","FD",2,14.1784816229034,14.0998212713383,14.2414747783307,100
"FD (Baseline)","FD",3,13.4418058111191,13.328712224258,13.5276212563406,100
"FD (Baseline)","FD",4,12.7485279700771,12.6146637588689,12.8584720015441,100
"FD (Baseline)","FD",5,12.1019778839588,11.9428723530026,12.2254158947516,100
"FD (Baseline)","FD",6,11.4939742654101,11.3151756791884,11.6316096626819,100
"FD (Baseline)","FD",7,10.9203779797359,10.7311740500266,11.0741575368771,100
"FD (Baseline)","FD",8,10.3824187584864,10.1844165350674,10.5528450860101,100
"FD (Baseline)","FD",9,9.87607412682118,9.67450982239041,10.0660752341354,100
"FD (Baseline)","FD",10,9.40612604868592,9.19260045847399,9.60307519103792,100
"FD (Baseline)","FD",11,8.95072283548387,8.74216550481442,9.16020359304732,100
"FD (Baseline)","FD",12,8.52612048779438,8.31570987720072,8.73527651654135,100
"FD (Baseline)","FD",13,8.12562851276709,7.91305079912228,8.33092008659423,100
"FD (Baseline)","FD",14,7.74714147931484,7.52787959283187,7.94854475138351,100
"FD (Baseline)","FD",15,7.38514593160106,7.17228903424227,7.58919452152998,100
"FD (Baseline)","FD",16,7.04775721279582,6.82719918400249,7.24819499662805,100
"FD (Baseline)","FD",17,6.72797063899144,6.50189693335029,6.92639146735454,100
"FD (Baseline)","FD",18,6.42445325728814,6.18999520274425,6.62530698202193,100
"FD (Baseline)","FD",19,6.13507837689014,5.89749354286653,6.3382807712087,100
"FD (Baseline)","FD",20,5.86036651118298,5.62195579124601,6.06106461364363,100
"FD (Baseline)","FD",21,5.59329615925104,5.36212904246649,5.79893004663217,100
"FD (Baseline)","FD",22,5.34250915587992,5.11934413135428,5.55207815439107,100
"FD (Baseline)","FD",23,5.10611483266593,4.8907126190017,5.31596240712929,100
"FD (Baseline)","FD",24,4.88020481749515,4.67385920308197,5.09304541056572,100
"FD (Baseline)","FD",25,4.6635101719878,4.46526287474602,4.87856231625159,100
"FD (Baseline)","FD",26,4.45668166795382,4.26642140584826,4.67425525500524,100
"FD (Baseline)","FD",27,4.25993615867113,4.07803912568254,4.47830367321945,100
"FD (Baseline)","FD",28,4.07309997790778,3.89686338736817,4.29096841795353,100
