"n","p","rep_id","method","l2_error","runtime_sec","seed_data","seed_split","seed_algo","tuning_config_id","q","T1","T2","T_fd_budget","eta","T","lambda","tau","tau_q"
800,800,1,"TS-RIGHT",0.279570397929356,6.58,20870508,20970508,21070508,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,1,"IHT",0.46731315607626,1.95,20870508,20970508,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,1,"Lasso",0.856324969609338,0.52,20870508,20970508,21170508,NA,NA,NA,NA,NA,NA,NA,0.918324502682497,NA,NA
800,800,1,"Adaptive Huber",0.244473667744082,132.14,20870508,20970508,21270508,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.87690511223405,0.95
800,800,1,"Shrinkage",1.23903856970257,1.90000000000001,20870508,20970508,21370508,NA,NA,NA,NA,NA,NA,NA,0.822546082120084,2.54272088367358,0.9
1200,800,1,"TS-RIGHT",0.135023482048629,6.01,20880508,20980508,21080508,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,1,"IHT",0.373278199749278,2.77,20880508,20980508,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,1,"Lasso",0.321068625629431,4.12,20880508,20980508,21180508,NA,NA,NA,NA,NA,NA,NA,0.519114800308175,NA,NA
1200,800,1,"Adaptive Huber",0.212966727231927,206.61,20880508,20980508,21280508,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.54422538278425,0.95
1200,800,1,"Shrinkage",1.05961232659256,5.97,20880508,20980508,21380508,NA,NA,NA,NA,NA,NA,NA,0.69118358121797,5.62055357140742,0.98
1600,800,1,"TS-RIGHT",0.187290509170439,5.97,20890508,20990508,21090508,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,1,"IHT",1.4837235446874,5.68,20890508,20990508,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,1,"Lasso",0.424068880634692,3.87,20890508,20990508,21190508,NA,NA,NA,NA,NA,NA,NA,0.612883018942873,NA,NA
1600,800,1,"Adaptive Huber",0.272799963238659,282.52,20890508,20990508,21290508,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.25469136467807,0.95
1600,800,1,"Shrinkage",1.23733847130554,13.51,20890508,20990508,21390508,NA,NA,NA,NA,NA,NA,NA,0.746494293455863,3.66703366965556,0.95
2000,800,1,"TS-RIGHT",0.253439088090165,7.73,20900508,21000508,21100508,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,1,"IHT",0.466689517655855,8.81,20900508,21000508,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,1,"Lasso",0.362662541190651,6.5,20900508,21000508,21200508,NA,NA,NA,NA,NA,NA,NA,0.752629404503879,NA,NA
2000,800,1,"Adaptive Huber",0.170384185278546,365.03,20900508,21000508,21300508,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,6.24434374549658,0.95
2000,800,1,"Shrinkage",1.03908858413405,14.13,20900508,21000508,21400508,NA,NA,NA,NA,NA,NA,NA,0.887016324622859,5.1654018177123,0.98
2400,800,1,"TS-RIGHT",0.138946818150984,7.18,20910508,21010508,21110508,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,1,"IHT",0.734912675023944,7.75,20910508,21010508,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,1,"Lasso",1.22215380326692,10.13,20910508,21010508,21210508,NA,NA,NA,NA,NA,NA,NA,1.67757318168703,NA,NA
2400,800,1,"Adaptive Huber",0.248695493695543,425.12,20910508,21010508,21310508,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,8.07844389180685,0.95
2400,800,1,"Shrinkage",1.02140882712948,16.17,20910508,21010508,21410508,NA,NA,NA,NA,NA,NA,NA,0.950676335696374,5.5720523800457,0.98
800,800,2,"TS-RIGHT",0.444856454310444,7,20870509,20970509,21070509,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,2,"IHT",1.88072334188948e+111,2.23,20870509,20970509,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,2,"Lasso",2.63261166862888,0.809999999999999,20870509,20970509,21170509,NA,NA,NA,NA,NA,NA,NA,0.506150394077199,NA,NA
800,800,2,"Adaptive Huber",0.338398480103084,150.5,20870509,20970509,21270509,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.30448242198109,0.95
800,800,2,"Shrinkage",1.82599013441595,2.19,20870509,20970509,21370509,NA,NA,NA,NA,NA,NA,NA,0.467064489283965,3.54152823500304,0.95
1200,800,2,"TS-RIGHT",0.282809031946141,5.68,20880509,20980509,21080509,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,2,"IHT",0.54435152637506,3.23,20880509,20980509,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,2,"Lasso",0.579882506252719,6.36,20880509,20980509,21180509,NA,NA,NA,NA,NA,NA,NA,0.623632071707726,NA,NA
1200,800,2,"Adaptive Huber",0.306328622098353,202.5,20880509,20980509,21280509,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.8775819634463,0.95
1200,800,2,"Shrinkage",1.30433107428357,5.62,20880509,20980509,21380509,NA,NA,NA,NA,NA,NA,NA,0.585477740050159,5.40759101660182,0.98
1600,800,2,"TS-RIGHT",0.276139301539617,6.41,20890509,20990509,21090509,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
