"n","n_factor","method_display","q25_l2","q50_l2","q75_l2","n_obs","x_base","method_index","x_pos"
800,"800","TS-RIGHT",0.277378466590065,0.320577357971189,0.369603575055667,100,1,1,0.74
800,"800","Adaptive Huber",0.262932924653459,0.303200787818983,0.365099262019296,100,1,2,0.87
800,"800","Shrinkage",1.32156678457438,1.46287217972283,1.63380377010808,100,1,3,1
800,"800","Lasso",0.454792679765752,0.603902683403459,0.770655344598716,100,1,4,1.13
800,"800","IHT",0.354904417461614,0.450725337603371,0.681676120383926,98,1,5,1.26
1200,"1200","TS-RIGHT",0.211569893502386,0.262642549374601,0.285605235490527,100,2,1,1.74
1200,"1200","Adaptive Huber",0.228496404955643,0.266842970047488,0.303289026624636,100,2,2,1.87
1200,"1200","Shrinkage",1.07781913439318,1.26315633271261,1.39974744881671,100,2,3,2
1200,"1200","Lasso",0.372293998690694,0.477380173693431,0.673588269552481,100,2,4,2.13
1200,"1200","IHT",0.300569655806447,0.377078678516218,0.546827882622163,100,2,5,2.26
1600,"1600","TS-RIGHT",0.176902704621041,0.20546101421547,0.242194748272518,100,3,1,2.74
1600,"1600","Adaptive Huber",0.22023047316092,0.247517536081225,0.277897974387522,100,3,2,2.87
1600,"1600","Shrinkage",1.07892277393445,1.1726169341358,1.35044385182841,100,3,3,3
1600,"1600","Lasso",0.349474571122779,0.460528889039084,0.564190034609141,100,3,4,3.13
1600,"1600","IHT",0.277076713687095,0.350768927804393,0.561738768774705,100,3,5,3.26
2000,"2000","TS-RIGHT",0.171152696588268,0.190371547455767,0.221327647242023,100,4,1,3.74
2000,"2000","Adaptive Huber",0.18783781582148,0.217687983476171,0.253871168762336,100,4,2,3.87
2000,"2000","Shrinkage",0.962220985408783,1.09754723512426,1.24393440006089,100,4,3,4
2000,"2000","Lasso",0.303195558041911,0.403100120687215,0.549001909301742,100,4,4,4.13
2000,"2000","IHT",0.251801293809946,0.350332391313985,0.489939875674823,99,4,5,4.26
2400,"2400","TS-RIGHT",0.156866515091025,0.181602053729867,0.211919350212349,100,5,1,4.74
2400,"2400","Adaptive Huber",0.172897717457465,0.210550460514537,0.243036382730876,100,5,2,4.87
2400,"2400","Shrinkage",0.902583072582682,1.02272717457544,1.16187508495255,100,5,3,5
2400,"2400","Lasso",0.307839493494712,0.393375857800651,0.567502425020661,100,5,4,5.13
2400,"2400","IHT",0.258667152889604,0.328146382029545,0.520979945447448,99,5,5,5.26
