"n","n_factor","method_display","q25_l2","q50_l2","q75_l2","n_obs","x_base","method_index","x_pos"
600,"600","TS-RIGHT",0.279006326636829,0.384382983356599,0.539956638502479,100,1,1,0.805
600,"600","IHT",0.455168862551051,0.498877974143359,0.54114105235701,100,1,2,0.935
600,"600","Shrinkage",1.41648343110619,1.52122468027279,1.59629537223673,100,1,3,1.065
600,"600","Lasso",1.59501999419576,1.6663102559958,1.72280306504311,100,1,4,1.195
800,"800","TS-RIGHT",0.232346273353931,0.365265947363615,0.532341617549526,100,2,1,1.805
800,"800","IHT",0.458267344574494,0.500800399918875,0.556259705608571,100,2,2,1.935
800,"800","Shrinkage",1.33612694779371,1.44997321915338,1.54463288756524,100,2,3,2.065
800,"800","Lasso",1.50107551079844,1.57643634380549,1.64277107358652,100,2,4,2.195
1200,"1200","TS-RIGHT",0.201814588780011,0.319388053226436,0.487764105724664,100,3,1,2.805
1200,"1200","IHT",0.458583662297287,0.503768320169449,0.537577317961972,100,3,2,2.935
1200,"1200","Shrinkage",1.23964026419667,1.32095116958783,1.39001459836161,100,3,3,3.065
1200,"1200","Lasso",1.39723292459678,1.47680934080006,1.54184616432916,100,3,4,3.195
1600,"1600","TS-RIGHT",0.209922065957301,0.328327821053448,0.458656147206367,100,4,1,3.805
1600,"1600","IHT",0.473090427313692,0.508193074462987,0.546139206244176,100,4,2,3.935
1600,"1600","Shrinkage",1.17147938969729,1.25868457529032,1.32323604876571,100,4,3,4.065
1600,"1600","Lasso",1.35583193928844,1.40000573192023,1.44184707208677,100,4,4,4.195
2000,"2000","TS-RIGHT",0.209910263463166,0.330457685867093,0.524091581052211,100,5,1,4.805
2000,"2000","IHT",0.477997392536478,0.508031844474656,0.537879341269198,100,5,2,4.935
2000,"2000","Shrinkage",1.11225216520539,1.17888488773044,1.25439280417609,100,5,3,5.065
2000,"2000","Lasso",1.28756308759891,1.34364582846273,1.38984320324338,100,5,4,5.195
