"p","n","rep_id","method","l2_error","df_x","scale_x","q","T1","T2","c_K1","c_K2","K1","K2","K1_block_size","K2_block_size","ts_eligible","seed_data","seed_ts"
600,600,1,"TS-RIGHT",0.72404623309221,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600001,2600001
600,600,1,"IHT",0.556232625869562,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600001,2600001
600,600,1,"Lasso",1.77258400099816,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600001,2600001
600,600,1,"Shrinkage",1.72651922400228,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600001,2600001
600,800,1,"TS-RIGHT",0.601580612078028,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800001,2800001
600,800,1,"IHT",0.624655383725626,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800001,2800001
600,800,1,"Lasso",1.7246685351895,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800001,2800001
600,800,1,"Shrinkage",1.56964538339964,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800001,2800001
600,1200,1,"TS-RIGHT",0.206749554989221,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200001,3200001
600,1200,1,"IHT",0.579747330992949,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200001,3200001
600,1200,1,"Lasso",1.30777607900671,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200001,3200001
600,1200,1,"Shrinkage",1.29373811586466,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200001,3200001
600,1600,1,"TS-RIGHT",0.273943686264592,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600001,3600001
600,1600,1,"IHT",0.569927953221905,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600001,3600001
600,1600,1,"Lasso",1.20985055437744,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600001,3600001
600,1600,1,"Shrinkage",1.13815971929488,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600001,3600001
600,2000,1,"TS-RIGHT",0.904516451280582,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000001,4000001
600,2000,1,"IHT",0.512696686159803,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000001,4000001
600,2000,1,"Lasso",1.23100963748635,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000001,4000001
600,2000,1,"Shrinkage",1.29251174893518,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000001,4000001
600,600,2,"TS-RIGHT",0.272782881526386,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600002,2600002
600,600,2,"IHT",0.509738914126239,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600002,2600002
600,600,2,"Lasso",1.66989391577913,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600002,2600002
600,600,2,"Shrinkage",1.5352675322712,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600002,2600002
600,800,2,"TS-RIGHT",0.230626313014047,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800002,2800002
600,800,2,"IHT",0.517385894574212,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800002,2800002
600,800,2,"Lasso",1.65814377386831,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800002,2800002
600,800,2,"Shrinkage",1.55213283287088,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800002,2800002
600,1200,2,"TS-RIGHT",0.270801683192947,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200002,3200002
600,1200,2,"IHT",0.549269511638894,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200002,3200002
600,1200,2,"Lasso",1.56554304713035,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200002,3200002
600,1200,2,"Shrinkage",1.38790886646748,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200002,3200002
600,1600,2,"TS-RIGHT",0.246144821444835,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600002,3600002
600,1600,2,"IHT",0.465992603207614,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600002,3600002
600,1600,2,"Lasso",1.47032881160403,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600002,3600002
600,1600,2,"Shrinkage",1.31650642483431,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600002,3600002
600,2000,2,"TS-RIGHT",0.274613951688972,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000002,4000002
600,2000,2,"IHT",0.512191148068637,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000002,4000002
600,2000,2,"Lasso",1.31979997650106,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000002,4000002
600,2000,2,"Shrinkage",1.12087059155666,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000002,4000002
600,600,3,"TS-RIGHT",0.355803727039756,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600003,2600003
600,600,3,"IHT",0.382068958698372,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,600,3,"Lasso",1.61204686221405,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,600,3,"Shrinkage",1.46931706622155,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,800,3,"TS-RIGHT",0.198065595574714,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800003,2800003
600,800,3,"IHT",0.500173069572391,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800003,2800003
