"method","config","repeat_id","outer_seed","fold","rmse","mae","r2","eta","eta_scale","q","k1_cap","T","T1","T2","lambda","s","tau_q","tau_x_q","tau_y_q","tau","tau_x","tau_y","nonzero","n1","n2","b2","K1","K1_default","K1_tar","K2","K2_tar","stage1_block_size","stage2_block_size","eligible","eta_base","y_center","fold_seed","lasso_seed","ts_seed"
"Adaptive Huber","Adaptive Huber tau_q=0.99",1,20260517,1,0.671241235788032,0.537307135970288,0.0216128792531727,NA,NA,NA,NA,NA,NA,NA,0.129192696667354,40,0.99,NA,NA,2.99881233148272,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000134889176982527,2.424547,20261517,20261548,NA
"IHT","IHT eta=0.5/L, T=50",1,20260517,1,0.659124862175761,0.519588853197746,0.0566152367494995,6.74445884912633e-05,0.5,NA,NA,50,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000134889176982527,2.424547,20261517,20261518,NA
"LASSO","LASSO cv.glmnet lambda.min",1,20260517,1,0.648878540241987,0.506698688087977,0.0857177396568621,NA,NA,NA,NA,NA,NA,NA,0.453620328659375,40,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000134889176982527,2.424547,20261517,20261518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",1,20260517,1,1.02296949129644,0.758185775635292,-1.27236888447593,NA,NA,NA,NA,NA,NA,NA,0.0798652494136263,40,NA,0.99,0.98,NA,27.0387691805669,3.07778488,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000134889176982527,2.424547,20261517,20261558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",1,20260517,1,0.597208039707669,0.476805518954296,0.22552971056813,6.74445884912633e-05,0.5,0.4,25,NA,50,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,25,31,262,2,7,10.08,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"Adaptive Huber","Adaptive Huber tau_q=0.99",1,20260517,2,0.642382927091399,0.477187974887801,0.179035289316797,NA,NA,NA,NA,NA,NA,NA,0.130034801913694,35,0.99,NA,NA,3.25398045068805,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000133174898811567,2.44818,20262517,20262548,NA
"IHT","IHT eta=0.5/L, T=50",1,20260517,2,0.612768154998895,0.42887307167774,0.252985754276725,6.65874494057837e-05,0.5,NA,NA,50,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000133174898811567,2.44818,20262517,20262518,NA
"LASSO","LASSO cv.glmnet lambda.min",1,20260517,2,0.610751682519882,0.436837113374977,0.257894152877181,NA,NA,NA,NA,NA,NA,NA,0.726999894620038,35,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000133174898811567,2.44818,20262517,20262518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",1,20260517,2,0.726141762018844,0.527327531274579,-0.0490093007454848,NA,NA,NA,NA,NA,NA,NA,0.193863606157357,35,NA,0.99,0.98,NA,27.2606759676256,2.74984588,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000133174898811567,2.44818,20262517,20262558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",1,20260517,2,0.59956571644299,0.414590529780418,0.284828675570525,6.65874494057837e-05,0.5,0.4,2,NA,50,4,NA,35,NA,NA,NA,NA,NA,NA,35,252,167,41,2,31,230,2,7,126,20.5,TRUE,0.000133174898811567,2.44818,20262517,20262518,20262738
