"stage","method","config","repeat_id","outer_seed","fold","rmse","mae","r2","eta","eta_scale","q","k1_cap","T","T1","T2","lambda","s","tau_q","tau_x_q","tau_y_q","tau","tau_x","tau_y","nonzero","n1","n2","b2","K1","K1_default","K1_tar","K2","K2_tar","stage1_block_size","stage2_block_size","eligible","eta_base","y_center","fold_seed","lasso_seed","ts_seed"
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=0, T2=4, eta=0.5/L",1,20260517,1,0.632283939822783,0.495951674286036,0.131883977168578,6.74445884912633e-05,0.5,0.4,2,NA,0,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,2,31,262,2,7,126,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=10, T2=4, eta=0.5/L",1,20260517,1,0.594091976684062,0.468635857530628,0.233590560781666,6.74445884912633e-05,0.5,0.4,5,NA,10,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,5,31,262,2,7,50.4,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=20, T2=4, eta=0.5/L",1,20260517,1,0.587156218190828,0.468326260646987,0.251381078671592,6.74445884912633e-05,0.5,0.4,5,NA,20,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,5,31,262,2,7,50.4,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=30, T2=4, eta=0.5/L",1,20260517,1,0.590540538526751,0.47291892816926,0.24272625123486,6.74445884912633e-05,0.5,0.4,5,NA,30,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,5,31,262,2,7,50.4,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=40, T2=4, eta=0.5/L",1,20260517,1,0.589839882418112,0.468535923964863,0.244522143915778,6.74445884912633e-05,0.5,0.4,5,NA,40,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,5,31,262,2,7,50.4,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",1,20260517,1,0.597208039707669,0.476805518954296,0.22552971056813,6.74445884912633e-05,0.5,0.4,25,NA,50,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,25,31,262,2,7,10.08,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=60, T2=4, eta=0.5/L",1,20260517,1,0.598447907636154,0.476507419600034,0.222310605696699,6.74445884912633e-05,0.5,0.4,5,NA,60,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,5,31,262,2,7,50.4,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=70, T2=4, eta=0.5/L",1,20260517,1,0.600009556102344,0.477990300024498,0.218246552594155,6.74445884912633e-05,0.5,0.4,25,NA,70,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,25,31,262,2,7,10.08,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=80, T2=4, eta=0.5/L",1,20260517,1,0.605659099692069,0.48328045481353,0.203455645643199,6.74445884912633e-05,0.5,0.4,25,NA,80,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,25,31,262,2,7,10.08,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
"after_stage2","TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=90, T2=4, eta=0.5/L",1,20260517,1,0.606139182277679,0.484015100884334,0.202192365249826,6.74445884912633e-05,0.5,0.4,25,NA,90,4,NA,40,NA,NA,NA,NA,NA,NA,40,252,167,41,25,31,262,2,7,10.08,20.5,TRUE,0.000134889176982527,2.424547,20261517,20261518,20261738
