"method","config","stage","T1","T2","eta_scale","q","median_rmse","mean_rmse","sd_rmse","iqr_rmse","min_rmse","max_rmse","median_mae","mean_mae","median_r2","mean_r2","fail_rate","n_repeats","n_folds_total","median_s","median_nonzero","tuned_k1_counts","K1_values","K2_values"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=100, T2=4, eta=0.5/L","after_stage2",100,4,0.5,0.4,0.804277090687648,0.827977372176904,0.184707326424999,0.270759152508145,0.540231779971001,1.32629452449608,0.53396033346555,0.539378387583454,0.228194735299438,0.203010325665652,0,20,100,17.5,17.5,"K1=2(38 times) | K1=5(10 times) | K1=15(20 times) | K1=25(32 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=90, T2=4, eta=0.5/L","after_stage2",90,4,0.5,0.4,0.804882526943092,0.828300537257104,0.185164351947327,0.270507799037451,0.538982329311721,1.34061880923607,0.529868600533691,0.538800500440806,0.230262010362846,0.202693067333529,0,20,100,17.5,17.5,"K1=2(39 times) | K1=5(10 times) | K1=15(23 times) | K1=25(28 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=80, T2=4, eta=0.5/L","after_stage2",80,4,0.5,0.4,0.806557705041151,0.828398625081852,0.184985409709719,0.267080739835003,0.540474743949623,1.33366485172545,0.532297081140901,0.539277155491343,0.229752569240994,0.202390984571795,0,20,100,17.5,17.5,"K1=2(39 times) | K1=5(12 times) | K1=15(23 times) | K1=25(26 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=40, T2=4, eta=0.5/L","after_stage2",40,4,0.5,0.4,0.807752043089013,0.828849611011635,0.186067600207793,0.257552367768881,0.537871715669688,1.33445696049649,0.530730238268276,0.534707233117662,0.233566418873193,0.202524005958966,0,20,100,17.5,17.5,"K1=2(43 times) | K1=5(12 times) | K1=15(23 times) | K1=25(22 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=20, T2=4, eta=0.5/L","after_stage2",20,4,0.5,0.4,0.808111577852051,0.833067328718816,0.189644047139851,0.266358842532801,0.533086415698519,1.35042304613618,0.532308442246626,0.532075208905757,0.222217435383785,0.196463385433272,0,20,100,17.5,17.5,"K1=2(49 times) | K1=5(12 times) | K1=15(20 times) | K1=25(19 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=30, T2=4, eta=0.5/L","after_stage2",30,4,0.5,0.4,0.808514838475943,0.830295717904098,0.187029876299405,0.266525856944208,0.533158411839628,1.34084648989543,0.531531062574938,0.533476377130968,0.229272034379034,0.200391647097108,0,20,100,17.5,17.5,"K1=2(45 times) | K1=5(15 times) | K1=15(20 times) | K1=25(20 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L","after_stage2",50,4,0.5,0.4,0.808854627162038,0.827831112060754,0.185593427587817,0.259987738455123,0.537804946333904,1.3299968577473,0.532556066522218,0.535713589939891,0.233558306756124,0.204318393755867,0,20,100,17.5,17.5,"K1=2(41 times) | K1=5(11 times) | K1=15(25 times) | K1=25(23 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=70, T2=4, eta=0.5/L","after_stage2",70,4,0.5,0.4,0.809164045249166,0.828183592559801,0.184925319711526,0.263730252319285,0.539436770775731,1.33367628164345,0.531161689932459,0.537779811471702,0.229486579914248,0.202985279927536,0,20,100,17.5,17.5,"K1=2(40 times) | K1=5(11 times) | K1=15(24 times) | K1=25(25 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=60, T2=4, eta=0.5/L","after_stage2",60,4,0.5,0.4,0.810090717351425,0.827849815340127,0.185414406470981,0.265231970439595,0.538407323591512,1.3344937809383,0.53471512235462,0.536965569256411,0.231774980046316,0.203946859156349,0,20,100,17.5,17.5,"K1=2(40 times) | K1=5(12 times) | K1=15(27 times) | K1=25(21 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=10, T2=4, eta=0.5/L","after_stage2",10,4,0.5,0.4,0.817699867583165,0.839699738106782,0.194617118270804,0.275239675565723,0.53315061989694,1.37559700746603,0.528337856794987,0.53063588608522,0.208198356147129,0.186011238359752,0,20,100,17.5,17.5,"K1=2(53 times) | K1=5(14 times) | K1=15(14 times) | K1=25(19 times)","2,5,15,25","2"
